,company_name,title_name,hard_skills_technologies,soft_skills,education
24,Flex,Business Development Manager,"['selling IT services', 'custom IT solutions', 'Business Intelligence', 'Data Analytic', 'Enterprise IT ecosystem', 'AI', 'Data science', 'Digitalization']","['great communication skills', 'customer understanding', 'ability to adapt to multiple communication styles', 'ability to explain business value of technology application', 'fluent in English']",only from 5 years of experience
27,Antagosoft,Python AI/ML Engineer for E-Commerce AI Bot,"['Python', 'AI/ML', 'natural language processing', 'RAG architectures', 'recommendation systems', 'SQL', 'REST APIs', 'DevOps', 'Docker', 'CI/CD pipelines', 'cloud services', 'OpenAI APIs', 'Pinecone', 'web scraping']","['attention to detail', 'English B1 or higher', 'experience working in English-speaking teams', 'creativity', 'problem-solving', 'sense of humor']",1+ years of experience in developing AI/ML solutions
28,Dataforest,Data Scientist,"['Python', 'Machine learning', 'Forecasting', 'Anomaly detection', 'Clusterization', 'Pandas', 'SQL', 'Statistics', 'NumPy', 'SciPy', 'Matplotlib']",['Intermediate English'],at least 1 year of experience
29,ANDROMEDA Systems,Data Architect,"['SQL', 'database management languages', 'Tableau', 'Power BI', 'ETL processes', 'AWS']","['strong communication', 'collaboration skills', 'presentation skills']",at least 5 years of experience
30,OTP Bank UA,Data Analyst,"['SQL', 'Power BI', 'Python', 'Excel']","['ability to create dynamic dashboards', 'analyze and interpret results']",at least 2 years of experience
33,Lemberg Solutions,MLOps Engineer,"['deploying and managing ML models', 'AI/ML lifecycle management', 'automation tools', 'version control systems', 'Git', 'deploying open-source Large Language Models', 'ML Ops', 'assessing and monitoring model performance', 'scalability', 'Python', 'MLOps frameworks/tools', 'Sagemaker pipelines', 'Azure ML Studio', 'VertexAI', 'cloud platforms', 'AWS', 'Azure', 'GCP', 'machine learning principles', 'deep learning principles', 'Kubernetes', 'Retrieval-Augmented Generation pipelines', 'API development']","['strong communication skills', 'collaboration skills', 'ability to work effectively in cross-functional teams', 'upper-intermediate level of English proficiency']",at least 4 years of experience
35,Matoffo,Machine Learning Engineer,"['TensorFlow', 'PyTorch', 'Hugging Face Transformers', 'Amazon SageMaker', 'document processing', 'OCR', 'Tesseract', 'AWS Textract', 'Python', 'Pandas', 'NumPy', 'Scikit-Learn', 'Git', 'AWS Step Functions', 'Apache Airflow', 'Jira', 'Confluence', 'Docker', 'Kubernetes', 'AWS Lambda']","['Upper-Intermediate English', 'team collaboration']",Only from 3 years of experience
36,Quontex,Junior Data Scientist,"['Python', 'Pandas', 'NumPy', 'Scikit-Learn', 'Jupyter', 'SQL', 'NoSQL', 'DataBricks', 'Scala', 'Spark', 'supervised machine learning models', 'unsupervised machine learning models', 'statistical data analysis', 'data mining patterns']","['great attention to detail', 'ability to meet deadlines', 'prioritize workload', 'strong written and verbal communication skills', 'passion for keeping up with the latest technologies', 'can-do attitude']",1+ years of experience
37,Data Science UA,Senior Data Engineer,"['Spark', 'Scala', 'Java', 'Hadoop', 'AWS - S3', 'SQL', 'NoSQL', 'PostgreSQL', 'Cassandra', 'RabbitMQ', 'Kafka', 'Chef', 'Puppet', 'Ansible', 'Salt', 'Luigi', 'Airflow', 'AWS', 'GCP', 'ELK stack', 'Python']","['motivated problem-solving skills', 'ability to bring ideas forward', 'adapt solutions to complex challenges']","Bachelor's degree in Computer Science, similar technical field of study, or equivalent practical experience"
38,Provectus,Machine Learning Tech Lead,"['LLMs', 'AWS Cloud services', 'NLP', 'Computer Vision', 'RL', 'deep learning', 'classical ML', 'Hugging Face', 'OpenAI', 'Anthropic models', 'Python', 'TensorFlow', 'PyTorch', 'model optimization', 'MLOps', 'LLMOps', 'AWS SageMaker', 'AWS Lambda', 'AWS Bedrock', 'AWS S3', 'AWS ECS', 'AWS ECR']","['strong communication skills', 'ability to lead cross-functional teams', 'problem-solving', 'decision-making', 'mentoring', 'developing engineers']",at least 5 years of experience
40,Flex,SAP Data & Analytics Developer,"['SAP', 'SAP Datasphere/DWC', 'SAP BW/HANA/ABAP', 'SAP ECC/S4 modules', 'ABAP', 'CDS Views', 'SAP Analytics Cloud', 'Data Analysis', 'analytical skills', 'Data Science/Machine Learning']","['very good communication skills', 'drive to understand business requirements', 'ability to combine technical and business topics', 'client oriented', 'strong analytical and problem-solving skills', 'attention to detail', 'English at least B2']",at least 7 years of experience
42,Data Science UA,Sales Manager,"['sales', 'technical product understanding']","['good English proficiency', 'excellent relationship building', 'communication skills', 'ability to initiate and develop business relationships', 'teamwork', 'confidence in presentations and negotiations']",at least 1 year of experience
43,TalentsToday,AI/ML Engineer,"['OpenAI', 'machine learning libraries', 'Python', 'numpy', 'pandas']","['strong problem-solving skills', 'analytical skills', 'strong proficiency in written and spoken English']","Bachelor’s degree in Computer Science, Engineering, or a related field"
44,Trinetix,Data Architect,"['Snowflake', 'Python', 'AWS', 'Azure', 'GCP', 'SQL', 'Apache Airflow', 'dbt', 'GDPR', 'HIPAA', 'Power BI', 'Tableau', 'AWS QuickSight', 'Looker']","['excellent communication', 'strong leadership', 'collaboration skills', 'strategic mindset', 'proactive', 'innovative']","Bachelor’s or Master’s degree in Computer Science, Information Systems, or a related field (or equivalent experience)"
45,Publicis Groupe Ukraine,Middle / Senior Data Scientist,"['Python', 'R', 'MS Excel', 'MS Power Point', 'PowerBI', 'кластеризація', 'регресія', 'методи класифікації', 'економетричні моделі', 'machine learning', 'маркетинг-мікс моделювання']","['комунікативні навички', 'рівень англійської — не нижче B1 Intermediate']",досвід від 2 років роботи з методами описового та прогнозного аналізу
47,SpaceCrew Finance Company,Data Scientist,"['statistical methods', 'characteristics of distributions', 'confidence intervals', 'hypothesis testing', 'correlation analysis', 'regression analysis', 'pandas', 'numpy', 'scikit-learn', 'scipy', 'linear regression', 'non-linear regression', 'logistic regression', 'decision trees', 'Random Forest', 'Gradient Boosting', 'time series algorithms', 'MsSQL', 'PostgreSQL', 'MongoDB']","['communication skills', 'team collaboration']",only from 3 years of experience
48,SpaceCrew Finance Company,Head of Data Science,"['Python', 'machine learning models', 'CRM development', 'Backend development', 'Frontend development', 'mobile application development']","['leadership', 'goal setting', 'team support', 'problem-solving', 'knowledge sharing']",Minimum 5 years of experience in data science
49,DataObrii,Data Scientist/ML Engineer,"['Python', 'PyTorch', 'neural networks', 'recurrent neural networks', 'convolutional neural networks', 'feedforward neural networks', 'LSTM', 'GRU', 'Conv1D', 'Dense', 'Dropout', 'BatchNormalization', 'ReLU', 'Sigmoid', 'Tanh', 'Softmax', 'pandas', 'numpy', 'Darts library', 'Scikit-learn', 'Shap', 'MSE', 'MAE', 'Cross-Entropy Loss', 'Optuna', 'Hyperopt', 'MSE', 'RMSE', 'MAE', 'MAPE', 'R-squared', 'matplotlib', 'seaborn', 'plotly', 'Git']","['excellent command of spoken and written English', 'strong communication skills', 'strong self-management', 'time management', 'organizational skills', 'team player', 'ability to work under a structured management system']","Major education in Data Science, Computer Science, or a related field IS A MUST"
50,VMK GROUP,AI Engineer,"['LLMs (GPT, Claude, Gemini)', 'NLP', 'WhatsApp API', 'Airtable API', 'Python (FastAPI / Flask)', 'No-Code AI tools', 'LangChain', 'LlamaIndex', 'RAG frameworks']",['Advanced/Fluent English'],Only from 4 years of experience
52,ITRS,Machine Learning Engineer,"['Machine Learning', 'signal processing algorithms', 'Python']",['Technical English'],Higher education
54,Antagosoft,Full-stack Javascript Engineer (Nest + React) for AI-driven Cybersecurity Solution,"['JavaScript', 'TypeScript', 'React', 'Nest.js', 'PostgreSQL', 'MySQL', 'REST API', 'HTML', 'CSS/SCSS', 'UI frameworks', 'TanStack', 'DevOps', 'Docker', 'Nginx', 'CI/CD', 'cloud services', 'message brokers']","['attention to detail', 'collaboration', 'continuous learning', 'sharing knowledge']",at least 1 year of experience
55,FlexMade,Data Scientist for SaaS E-commerce Solutions,"['Python', 'Pandas', 'Numpy', 'Scikit-learn', 'TensorFlow', 'SQL', 'machine learning algorithms', 'time series analysis', 'AWS', 'feature engineering', 'version control', 'testing']",['Upper-Intermediate English'],Only from 4 years of experience
56,ARGO,Senior/Middle Data Scientist,"['Python', 'R', 'Scikit-learn', 'Shap', 'Pandas', 'SQL', 'CTE', 'window functions', 'TensorFlow', 'PyTorch', 'Langchain', 'NumPy', 'Keras', 'Hadoop', 'Spark', 'Hive']","['excellent communication skills', 'effective interaction with stakeholders']",preferably in computer science or mathematics
57,Busy Rebel,AI/ML Engineer,"['Python', 'AI/ML frameworks', 'PyTorch', 'TensorFlow', 'Hugging Face', 'LangChain', 'RAG workflows', 'vector databases', 'Pinecone', 'Weaviate', 'Agentic AI', 'reinforcement learning', 'cloud platforms', 'AWS', 'GCP', 'Azure', 'MLOps tools', 'Docker', 'Kubernetes', 'CI/CD', 'OpenAI API', 'Anthropic', 'Cohere', 'information retrieval systems', 'knowledge graphs', 'semantic search', 'GPT-4', 'Llama 2', 'Falcon', 'Stable-Baselines3', 'Ray RLlib']","['Upper-Intermediate English', 'collaboration', 'innovation']",Only from 5 years of experience
58,Gemicle,Python ML/Data Engineer,"['Python', 'pandas', 'numpy', 'TensorFlow', 'PyTorch', 'scikit-learn', 'SQL', 'Snowflake', 'BigQuery', 'ClickHouse', 'Apache Airflow', 'GCP Dataflow', 'Apache Hadoop', 'Scala', 'CI/CD pipelines', 'terraform', 'bicep']","['ability to communicate clearly', 'spoken English']",only from 3 years of experience
59,Collaborator,Part-time Data Scientist,"['core Data Science principles', 'NLP implementation', 'Machine learning model development', 'MLOps', 'data pipeline architecture', 'Predictive analytics', 'data modeling', 'MySQL', 'Google Big Query', 'Python', 'Git', 'BI analytics tools', 'Cloud computing platforms']","['Upper-Intermediate (B2) English level', 'technical leadership']","Higher education in IT, Mathematics, Physics, or related field"
60,Sibliss,Machine Learning Python Developer,"['Python', 'TensorFlow', 'PyTorch', 'Scikit-Learn', 'LLMs', 'NLP', 'computer vision', 'CursorAI', 'WindsurfAI', 'Pandas', 'NumPy', 'Apache Airflow', 'Docker', 'Kubernetes', 'AWS', 'Google Cloud', 'Azure', 'Flask', 'Django', 'FastAPI', 'SQL', 'NoSQL', 'Matplotlib', 'Seaborn', 'Plotly']","['strong communication', 'problem-solving mindset', 'ability to convey complex ideas', 'collaborate effectively within a team']",4+ years of experience in Python
61,MWDN,Data Scientist,"['Python', 'SQL', 'Numpy', 'Pandas', 'Machine Learning', 'time series', 'clustering', 'regression', 'classification algorithms', 'Tabular Data', 'data exploration', 'data analysis', 'data visualization', 'PowerBi', 'Tableau']","['team player', 'positive attitude', 'collaborative', 'good communication skills', 'strong problem-solving skills', 'Upper-intermediate English level']",MSc / PhD in Computer Science / Mathematics / Statistics / Physics or equivalent
63,Data Science UA,Financial Planning and Analysis Lead,"['MS Excel', 'Power Query', 'Looker', 'SQL', 'Financial Analysis', 'Budgeting & Forecasting', 'Financial reporting']","['Strong verbal and written skills', 'Ability to connect financial performance with business strategy', 'Analytical mindset', 'Capable of managing multiple tasks', 'English proficiency']","Bachelor's in Finance, Accounting, or related field"
64,MUGCO,Lead Data Architect,"['Azure', 'Microsoft Purview', 'Azure Data Fabric', 'data pipelines', 'data migration', 'data quality improvement', 'data security', 'risk management']","['great communication', 'leadership skills']",at least 5 years of experience
65,StellarTech,Data Architect / Tech Lead,"['AWS services', 'S3', 'Kinesis', 'Athena', 'dlt', 'dbt', 'Airflow', 'data architecture', 'ETL/ELT processes', 'data modeling', 'SQL', 'Python', 'CI/CD pipelines', 'DevOps practices', 'Kubernetes']","['strong leadership skills', 'analytical vision', 'ability to consider future perspectives in system design']",only from 8 years of experience
66,Olive,AI Data Scientist,"['Python', 'Linux environments', 'Vision AI', 'classification models', 'segmentation models', 'multimodal vision-language models', 'vision-LLM models', 'Machine Learning', 'Data Science', 'Computer Vision', 'big data']",['Upper-Intermediate English'],Bachelor’s degree in Computer Science
67,Alliance Digital,"Data Scientist (Risk Models, Anti-Fraud)","['Python', 'R', 'Scikit-learn', 'XGBoost', 'LightGBM', 'CatBoost', 'TensorFlow', 'PyTorch', 'SQL', 'Spark', 'регресії', 'дерева рішень', 'ансамблеві методи', 'кластеризація', 'anomaly detection', 'ROC-AUC', 'Precision/Recall', 'Gini', 'KS', 'API', 'AWS', 'Azure', 'Git']","['communication skills', 'teamwork']","Higher technical education (computer science, mathematics, statistics, economics, or finance)"
68,Lobby X,Computer Vision Engineer,"['classical computer vision', 'neural networks', 'geometrical computer vision principles', 'low-level CV algorithms', 'Python', 'C++', 'Linux', 'OpenCV', 'numpy', 'PyTorch', 'ONNX', 'Eigen']",['ability to quickly navigate through recent research and trends'],from 3 years of experience
69,EPAM Systems,Generative AI Data Scientist,"['GANs', 'VAEs', 'deep generative models', 'Python', 'TensorFlow', 'PyTorch', 'machine learning', 'deep learning', 'statistical modeling', 'data visualization', 'exploratory analysis', 'NLP', 'text generation models', 'Azure', 'Open AI', 'ChatGPT', 'Google Cloud', 'AWS', 'parallel computing', 'distributed training frameworks']","['strong problem-solving skills', 'creative thinking', 'excellent written and verbal communication skills', 'ability to communicate complex technical concepts', 'collaborative teamwork', 'strong research and self-learning abilities']",at least 5 years of experience
70,PrivatBank,Data Scientist,"['Python', 'SQL', 'Machine Learning', 'регресія', 'класифікація', 'прогноз часових рядів', 'Amazon Sagemaker', 'Amazon S3', 'Git']","['скрупульозність', 'уважність', 'відповідальність', 'Pre-Intermediate English']",1+ рік комерційного досвіду
71,EveryMatrix,Intern Sports Data Scientist,"['Python', 'R', 'SQL', 'statistical prediction', 'probability theory', 'Bayesian statistics', 'generalized linear models (GLMs)']","['intellectual curiosity', 'creativity', 'problem-solving skills', 'communication skills', 'fluent English']","Currently enrolled in or a graduate of a Data Science, AI, Computer Science, Statistics, or related program"
72,Codebridge Technology,Senior Machine Learning Engineer,"['AI models', 'web development', 'HTML', 'CSS', 'JavaScript', 'TypeScript', 'React', 'Angular', 'computer vision models', 'prompt engineering', 'LLMs', 'Figma', 'Penpot', 'deploying scalable AI/ML models']","['continuous learning', 'self-improvement', 'leadership', 'communication skills', 'collaboration with cross-functional teams', 'critical thinking', 'problem-solving']",from 5 years of experience
73,Data Science UA,Product Marketing Manager,"['SEO', 'A/B testing', 'web analytics', 'data analysis', 'digital marketing', 'social media marketing', 'TikTok', 'Instagram', 'LinkedIn', 'content marketing', 'guerilla marketing', 'email marketing', 'conversion rate optimization', 'PPC']","['excellent communication', 'project management skills', 'creative problem-solving', 'growth mindset', 'strong analytical skills']",Only from 4 years of experience
74,OTAKOYI,Senior AI/ Back-end Engineer,"['Python', 'TensorFlow', 'PyTorch', 'scikit-learn', 'Hugging Face', 'FastAPI', 'NLP', 'RAG', 'Qdrant', 'PostgreSQL', 'Docker', 'Kubernetes', 'ML pipelines', 'testing and debugging in ML and backend']","['excellent communication', 'collaboration skills', 'ability to work closely with cross-functional teams']",from 4 years of experience
75,GlobalLogic,Computer Vision Senior Engineer,"['Python', 'C++', 'OpenCV', 'TensorFlow', 'PyTorch', 'CUDA', 'neural networks', 'CNNs', 'machine learning', 'deep learning', 'image processing', 'hardware integration', 'software development best practices', 'Git', 'real-time processing', 'edge AI deployment', 'ONNX', 'TensorRT', 'OpenVINO', 'QNX', 'Linux']",['advanced English'],3+ years of experience in computer vision or related fields
76,Selfinspection,Middle Machine Learning Engineer (Computer Vision),"['Python', 'ETL pipelines', 'AWS', 'Google Cloud', 'OOP', 'procedural programming', 'functional programming', 'SOLID principles', 'machine learning', 'computer vision', 'OpenCV', 'FiftyOne', 'Ultralytics', 'PyTorch']",['strong communication skills in English'],2+ years of experience in a related field
77,Quextro,AI/ML Engineer,"['Python', 'SQL', 'PyTorch', 'PyMuPdf', 'PyPDF2', 'Tesseract OCR', 'Hugging Face', 'LangChain', 'Pinecone', 'Weaviate', 'Docker', 'Kubernetes', 'CI/CD platforms', 'parallel processing', 'document processing', 'OCR technologies', 'LLMs', 'RAG systems', 'vector databases', 'DevOps principles']",['required knowledge of Ukrainian'],2+ years of experience in Machine Learning/AI engineering
78,JustAnswer,Data Scientist,"['SQL', 'Python', 'BigQuery', 'TensorFlow', 'PyTorch', 'Keras', 'statistical methods', 'machine learning techniques', 'regression', 'classification', 'clustering', 'time series analysis', 'Naive Bayes', 'XGBoost', 'neural networks', 'NLP', 'computer vision', 'reinforcement learning', 'descriptive statistical analysis', 'inferential statistical analysis', 'experimental design', 'LLMs', 'CI/CD pipelines']","['analytical thought leadership', 'collaboration with stakeholders']",Bachelor’s or Master’s degree in a quantitative field
79,InData Labs,Machine Learning Engineer,"['Python', 'SQL', 'PyTorch', 'TensorFlow', 'Hugging Face', 'scikit-learn', 'pandas', 'numpy', 'matplotlib', 'Spark', 'NLP', 'CV', 'Speech Recognition', 'Recommendation Systems', 'Generative AI', 'LLAMA', 'Mistral', 'Stable Diffusion', 'AWS', 'Microsoft Azure', 'GCP', 'MLOps', 'DevOps', 'CI/CD', 'ETL pipelines']","['English level B2+', 'analytical thinking', 'data visualization skills', 'ability to explain technical concepts', 'ability to translate business requirements', 'creative problem solving', 'negotiation skills']","MS/PhD in Mathematics, Statistics, Physics, Computer Science, or related fields"
80,4Service,Руководитель отдела Аналитики,"['Power BI', 'Excel', 'SQL', 'аналітичне мислення', 'методології досліджень']","['лідерські якості', 'управління командою', 'аналітичне мислення', 'знання англійської мови на рівні Intermediate або вище']",досвід роботи у сфері аналітики від 3-х років
81,Dataforest,Middle Data Scientist,"['Python', 'Data Science', 'Pandas', 'Apache Spark (pyspark)', 'Apache Kafka', 'Databricks', 'AWS', 'data algorithms', 'data structures', 'statistics', 'Machine learning algorithms', 'cluster computing fundamentals']","['Upper-Intermediate English', 'knowledge of Ukrainian']",2+ years of experience in Data Science / Data engineering field
82,Data Science UA,Middle Data Engineer,"['Power BI', 'DAX', 'ETL/ELT design', 'Azure Data Factory', 'Azure Functions', 'stored procedures', 'Python', 'Telerik .NET Reporting']","['collaborative', 'dynamic team environment']",3+ years of experience
83,Capgemini Engineering Ukraine,Middle/Senior Tableau Engineer,"['Tableau', 'Data Analysis', 'BI', 'Tableau REST API', 'Python', 'SQL', 'Snowflake']","['good communicator', 'good English']",Only from 3 years of experience
84,Data Science UA,Administrative Specialist,"['GoogleDocs', 'Microsoft Office', 'Excel', 'people management']","['high level of communication skills', 'ability to multitask', 'attention to detail', 'problem-solving skills', 'ability to adapt to company needs', 'knowledge of Ukrainian']",only from 2 years of experience
85,Flex,Data Architect,"['Data management principles', 'Data modeling techniques', 'Database design', 'Data integration flows', 'Data governance policies', 'Data integrity', 'Compliance', 'Data normalization', 'Denormalization', 'Generalization', 'Performance optimization techniques', 'Relational databases', 'Oracle', 'SQL Server', 'MySQL', 'NoSQL databases', 'MongoDB', 'Cassandra', 'DynamoDB', 'Database management systems', 'Data warehousing', 'Data integration technologies', 'Big Data solutions', 'Cloud-based database platforms', 'Warehouse platforms', 'Lakehouse platforms', 'ETL processes', 'Data pipelines', 'Business Intelligence', 'Data analytics', 'Data profiling', 'Data cleansing', 'Data harmonization', 'Data quality assessment', 'Data security', 'Privacy regulations', 'GDPR', 'CCPA', 'Data encryption', 'Access controls', 'Data masking techniques']","['Excellent communication skills', 'Presentation skills', 'Collaboration with cross-functional teams', 'Analytical abilities', 'Problem-solving abilities']","Bachelor's or Master's degree in Computer Science, Information Systems, or a related field"
86,Trinetix,Team Lead (Python),"['Python', 'AI/LLM', 'AWS', 'Azure Cloud Platform', 'ETL processes', 'PostgreSQL', 'MongoDB', 'web services', 'API development', 'RESTful APIs', 'Git', 'Pandas', 'FastAPI', 'Pydantic', 'Docker', 'Kubernetes', 'machine learning', 'NLP']","['leadership', 'excellent problem-solving skills', 'attention to detail', 'strong verbal and written communication skills', 'upper-intermediate English', 'familiarity with agile development methodologies']",5+ years of experience in software development
87,TalentsToday,Data Scientist (Graph Modeling and Optimization),"['Neo4j', 'ArangoDB', 'TigerGraph', 'Cypher', 'Gremlin', 'NetworkX', 'Graph-tool', 'Python', 'graph algorithms', 'shortest path', 'clustering', 'optimization techniques']","['excellent analytical skills', 'problem-solving skills', 'communication skills', 'strong proficiency in written and spoken English']","Bachelor’s or Master’s degree in Data Science, Mathematics, Computer Science, or related fields"
88,UKAD,Data Scientist,"['Python', 'Pandas', 'Numpy', 'Scikit-learn', 'TensorFlow', 'SQL', 'AWS', 'machine learning algorithms', 'time series analysis', 'feature engineering', 'version control', 'testing', 'LSTMs']","['spoken English', 'desire to speak English', 'self-sufficient', 'eager to learn', 'passionate about data science']",4+ years of relevant experience
90,Logivations,"Middle Machine Learning, Python Developer","['Python', 'Linux', 'Bash', 'Docker', 'C++', 'Machine Learning', 'GStreamer', 'Pyro', 'ROS2', 'NumPy', 'FastAPI', 'Computer Vision']","['good English language skills', 'creative mind', 'strong desire to overcome obstacles', 'motivation to keep up to date with latest research']","Master or Bachelor degree in Computer Science, Mathematics, Statistics, Operations Research or related field"
91,Digis,Middle+ Data Analyst/Scientist,"['Python', 'Web Scraping', 'Data Visualization', 'Data Science']","['B2 English level or higher', 'Analytical skills', 'Communication skills']",3+ years of Data Analyst with some Data Scientist Experience
92,Corpsoft.io,Machine Learning Engineer,"['Mistral 7B', 'GPT-3/4', 'LLaMA', 'Claude', 'Falcon', 'Bloom', 'Retrieval-Augmented Generation (RAG)', 'vector databases', 'Pinecone', 'Weaviate', 'FAISS', 'Python', 'PyTorch', 'TensorFlow', 'Hugging Face', 'LangChain', 'AI model integration', 'API development']",['knowledge of Ukrainian'],only from 1 year of experience
93,Alps2Alps (part of Amitours group),Machine Learning Technical Lead,"['Python', 'R', 'Java', 'TensorFlow', 'PyTorch', 'scikit-learn', 'Pandas', 'NumPy', 'SQL', 'machine learning algorithms', 'statistical analysis', 'Git', 'AWS', 'Azure', 'Google Cloud', 'Docker']","['strong leadership skills', 'excellent communication abilities', 'strong analytical and problem-solving skills', 'proven mentorship capabilities', 'collaborative mindset', 'adaptability', 'project management skills', 'creative thinking']","Bachelor’s degree in Computer Science, Data Science, Statistics, or a related field (Master’s or Ph.D. preferred)"
94,Boosters (by Genesis),NLP Engineer,"['Deep Learning', 'LLM', 'NLP models', 'PyTorch', 'SOTA models']",['ability to find optimal and unconventional solutions'],only from 3 years of experience
95,Data Science UA,Administrative Assistant,"['GoogleDocs', 'Excel', 'report creation', 'contract management']","['high communication skills', 'multitasking', 'attention to detail', 'problem-solving skills', 'ability to adapt', 'teamwork']",only from 2 years of experience
